,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Wadena,46.44,-95.14,75.2,50,1,4.47,US,1595285337
1,Mataura,-46.19,168.86,39.0,83,76,3.0,NZ,1595284757
2,Tuktoyaktuk,69.45,-133.04,42.8,81,90,9.17,CA,1595285319
3,Necochea,-38.55,-58.74,52.0,94,100,15.99,AR,1595285338
4,Bluff,-46.6,168.33,39.0,83,93,3.0,NZ,1595285338
5,Atuona,-9.8,-139.03,80.1,78,52,15.41,PF,1595285338
6,Lagoa,39.05,-27.98,68.86,73,2,5.75,PT,1595285338
7,Gushikawa,26.35,127.87,82.4,94,1,4.7,JP,1595285166
8,Keokuk,40.4,-91.38,82.4,69,75,8.05,US,1595285236
9,Bonthe,7.53,-12.51,75.87,92,100,8.14,SL,1595285339
10,Punta Arenas,-53.15,-70.92,32.0,96,75,6.93,CL,1595285339
11,Carnarvon,-24.87,113.63,51.8,81,0,8.05,AU,1595285339
12,Saint-Pierre,-21.34,55.48,66.2,68,90,11.41,RE,1595285339
13,Nabire,-3.37,135.48,78.48,81,91,3.8,ID,1595285339
14,Hermanus,-34.42,19.23,59.0,83,0,5.99,ZA,1595285334
15,Clyde River,70.47,-68.59,44.6,93,90,13.87,CA,1595285058
16,Alofi,-19.06,-169.92,82.4,83,75,10.29,NU,1595285339
17,Tasiilaq,65.61,-37.64,44.6,87,0,8.05,GL,1595285340
18,Esperance,-33.87,121.9,46.4,81,58,8.05,AU,1595285340
19,Batagay-Alyta,67.8,130.41,68.79,74,100,0.74,RU,1595285340
20,Garissa,-0.45,39.64,71.78,72,96,15.99,KE,1595285340
21,Klaksvík,62.23,-6.59,48.2,93,39,8.05,FO,1595285340
22,Havre-St-Pierre,50.23,-63.6,75.2,64,1,11.41,CA,1595285135
23,Amapá,1.0,-52.0,72.48,95,98,1.95,BR,1595285341
24,Makakilo City,21.35,-158.09,89.6,40,20,9.17,US,1595285152
25,Katsuura,35.13,140.3,75.99,91,100,5.77,JP,1595285341
26,Vaini,-21.2,-175.2,75.2,64,0,9.17,TO,1595285341
27,Dikson,73.51,80.55,39.83,95,100,13.44,RU,1595285341
28,Vaitape,-16.52,-151.75,78.37,80,39,25.5,PF,1595285341
29,Ushuaia,-54.8,-68.3,28.4,100,2,2.98,AR,1595284622
30,Chui,-33.7,-53.46,68.36,82,100,9.35,UY,1595285342
31,Saint Anthony,45.02,-93.22,82.99,42,90,3.36,US,1595285342
32,Bethel,41.37,-73.41,90.0,43,1,11.41,US,1595285342
33,Portland,45.52,-122.68,93.0,29,20,10.29,US,1595284584
34,Bokoro,12.38,17.06,79.7,70,73,5.66,TD,1595285342
35,Jamestown,42.1,-79.24,78.01,50,1,13.87,US,1595285342
36,Bam,29.11,58.36,81.28,16,0,14.0,IR,1595285342
37,Rikitea,-23.12,-134.97,68.34,58,93,12.21,PF,1595284650
38,Hong Kong,22.29,114.16,82.99,83,100,2.39,HK,1595285102
39,Saint-Philippe,-21.36,55.77,66.2,68,90,11.41,RE,1595285321
40,Manzhouli,49.6,117.43,58.82,56,5,11.86,CN,1595285343
41,Hualmay,-11.1,-77.61,61.9,79,9,8.41,PE,1595285343
42,Jumla,29.27,82.18,59.27,68,97,1.7,NP,1595285343
43,Hilo,19.73,-155.09,84.2,58,1,6.93,US,1595285026
44,Airai,-8.93,125.41,58.06,77,63,2.89,TL,1595285343
45,Buraidah,26.33,43.98,93.2,20,0,3.36,SA,1595285125
46,Bilma,18.69,12.92,92.97,21,19,9.53,NE,1595285344
47,Tiksi,71.69,128.87,45.9,90,100,10.58,RU,1595285344
48,Walvis Bay,-22.96,14.51,67.93,27,0,8.01,NA,1595285344
49,Khatanga,71.97,102.5,51.93,68,100,4.36,RU,1595285344
50,Busselton,-33.65,115.33,50.0,67,61,15.03,AU,1595285345
51,Mahébourg,-20.41,57.7,68.0,72,75,9.17,MU,1595285345
52,Coyhaique,-45.58,-72.07,35.6,85,90,3.36,CL,1595285345
53,Belaya Gora,68.53,146.42,79.7,37,44,8.77,RU,1595285156
54,São Filipe,14.9,-24.5,76.69,82,45,7.67,CV,1595285334
55,Angoche,-16.23,39.91,69.46,83,14,9.24,MZ,1595285345
56,Lebu,-37.62,-73.65,50.97,84,96,11.39,CL,1595285322
57,Qaanaaq,77.48,-69.36,48.2,71,99,1.43,GL,1595285346
58,Mar del Plata,-38.0,-57.56,51.8,100,90,20.8,AR,1595285322
59,Laas,46.62,10.7,59.0,77,5,1.21,IT,1595285346
